ons_code,numberofprovs,main_provider
E08000024,1,ATOS
E08000025,1,Capita
E08000026,1,Capita
E08000027,1,Capita
E08000028,1,Capita
E08000029,1,Capita
E08000030,1,Capita
E08000031,1,Capita
E08000032,1,ATOS
E08000033,1,ATOS
E08000034,1,ATOS
E08000035,1,ATOS
E08000036,1,ATOS
E08000037,1,ATOS
E09000001,1,ATOS
E09000002,1,ATOS
E09000003,1,ATOS
E09000004,1,ATOS
E09000005,1,ATOS
E09000006,1,ATOS
E09000007,1,ATOS
E09000008,1,ATOS
E09000009,1,ATOS
E09000010,1,ATOS
E09000011,1,ATOS
E09000012,1,ATOS
E09000013,1,ATOS
E09000014,1,ATOS
E09000015,1,ATOS
E09000016,1,ATOS
E09000017,1,ATOS
E09000018,1,ATOS
E09000019,1,ATOS
E09000020,1,ATOS
E09000021,1,ATOS
E09000022,1,ATOS
E09000023,1,ATOS
E09000024,1,ATOS
E09000025,1,ATOS
E09000026,1,ATOS
E09000027,1,ATOS
E09000028,1,ATOS
E09000029,1,ATOS
E09000030,1,ATOS
E09000031,1,ATOS
E09000032,1,ATOS
E09000033,1,ATOS
L99999999,1,ATOS
M99999999,1,ATOS
N09000001,1,Capita
N09000002,1,Capita
N09000003,1,Capita
N09000004,1,Capita
N09000005,1,Capita
N09000006,1,Capita
N09000007,1,Capita
N09000008,1,Capita
N09000009,1,Capita
N09000010,1,Capita
N09000011,1,Capita
S12000005,1,ATOS
S12000006,1,ATOS
S12000008,1,ATOS
S12000010,1,ATOS
S12000011,1,ATOS
S12000013,1,ATOS
S12000014,1,ATOS
S12000017,1,ATOS
S12000018,1,ATOS
S12000019,1,ATOS
S12000020,1,ATOS
S12000021,1,ATOS
S12000023,1,ATOS
S12000026,1,ATOS
S12000027,1,ATOS
S12000028,1,ATOS
S12000029,1,ATOS
S12000030,1,ATOS
S12000033,1,ATOS
S12000034,1,ATOS
S12000035,1,ATOS
S12000036,1,ATOS
S12000038,1,ATOS
S12000039,1,ATOS
S12000040,1,ATOS
S12000041,1,ATOS
S12000042,1,ATOS
S12000045,1,ATOS
S12000047,1,ATOS
S12000048,1,ATOS
S12000049,1,ATOS
S12000050,1,ATOS
W06000001,1,Capita
W06000002,1,Capita
W06000003,1,Capita
W06000004,2,Capita
W06000005,2,ATOS
W06000006,1,Capita
W06000008,1,Capita
W06000009,1,Capita
W06000010,1,Capita
W06000011,1,Capita
W06000012,1,Capita
W06000013,1,Capita
W06000014,1,Capita
W06000015,1,Capita
W06000016,1,Capita
W06000018,1,Capita
W06000019,1,Capita
W06000020,2,Capita
W06000021,1,Capita
W06000022,2,Capita
W06000023,1,Capita
W06000024,1,Capita
